finding_id,finding_date,source,account_id,account_name,region,resource_type,resource_id,resource_name,severity,title,description,compliance_standard,control_id,status,remediation,owner,estimated_effort_hrs,fca_relevant,notes
SF-011,2026-01-08,Security Hub - FSBP,234567890123,Non-Production,eu-west-2,AWS::S3::Bucket,arn:aws:s3:::tilington-dev-artifacts,tilington-dev-artifacts,MEDIUM,S3 bucket does not have server-side encryption enabled,Dev artifact bucket uses SSE-S3 not SSE-KMS. May contain build artefacts with embedded credentials.,AWS Foundational Security Best Practices,S3.4,ACTIVE,Enable SSE-KMS on all S3 buckets. Use tilington-production-data CMK.,James Patel,1,NO,
SF-012,2026-01-08,Security Hub - FSBP,123456789012,Production,eu-west-2,AWS::RDS::DBCluster,arn:aws:rds:eu-west-2:123456789012:cluster:tilington-customers-aurora,tilington-customers-aurora,MEDIUM,RDS cluster backup retention period is less than 7 days,Aurora cluster backup retention set to 3 days. FCA record keeping requires longer retention.,AWS Foundational Security Best Practices,RDS.11,ACTIVE,Increase backup retention to minimum 35 days. Enable automated backups.,Michael Evans,1,YES,FCA COBS record keeping - some records require 5-7 year retention
SF-013,2026-01-08,Security Hub - FSBP,123456789012,Production,eu-west-2,AWS::EKS::Cluster,arn:aws:eks:eu-west-2:123456789012:cluster/tilington-production-eks,tilington-production-eks,MEDIUM,EKS cluster does not have audit logging enabled,EKS audit logs not enabled. Cannot audit who ran what kubectl commands.,AWS Foundational Security Best Practices,EKS.8,ACTIVE,Enable audit control plane logs on EKS cluster.,James Patel,2,YES,FCA audit requirement - all privileged actions must be logged
SF-014,2026-01-08,Security Hub - FSBP,123456789012,Production,eu-west-2,AWS::IAM::AccountPasswordPolicy,arn:aws:iam::123456789012:root,Root account,MEDIUM,IAM password policy does not require uppercase letters,Password policy missing complexity requirements.,CIS AWS Foundations Benchmark,1.8,ACTIVE,Update IAM password policy. Enable MFA enforcement via SCP.,Priya Sharma,1,YES,
SF-015,2026-01-08,GuardDuty,345678901234,Security,eu-west-2,AWS::IAM::User,arn:aws:iam::345678901234:user/security-scanner,security-scanner,MEDIUM,Recon:IAMUser/UserPermissions - Permission reconnaissance,IAM user security-scanner queried GetAccountAuthorizationDetails across 6 accounts. Possible credential compromise or insider threat.,N/A,N/A,ACTIVE,Investigate immediately. Rotate credentials. Check CloudTrail for follow-on actions.,Priya Sharma,4,YES,Could be legitimate security scanner or genuine reconnaissance. Verify with team.
SF-016,2026-01-08,Config,123456789012,Production,eu-west-2,AWS::EC2::Instance,i-0abc123def456789,til-prod-app-01,LOW,EC2 instance is not managed by Systems Manager SSM,EC2 instance not registered with SSM. Cannot use Session Manager or Patch Manager.,AWS Config,ec2-instance-managed-by-systems-manager,ACTIVE,Install SSM agent. Attach SSM instance profile.,Michael Evans,2,NO,Pre-requisite for replacing SSH access with SSM (see SF-004)
SF-017,2026-01-08,Security Hub - FSBP,123456789012,Production,eu-west-2,AWS::EC2::SecurityGroup,sg-0def456,aurora-sg,LOW,Security group has overly permissive inbound rules from VPC CIDR,Aurora security group allows 5432 from entire VPC CIDR (10.30.0.0/16) not just EKS nodes.,AWS Foundational Security Best Practices,RDS.2,ACTIVE,Restrict to EKS node security group only. Remove VPC-wide rule.,James Patel,1,YES,Least privilege networking - NCSC Principle 11
SF-018,2026-01-08,Macie,123456789012,Production,eu-west-2,AWS::S3::Bucket,arn:aws:s3:::tilington-temp-uploads-prod,tilington-temp-uploads-prod,CRITICAL,S3 object contains potential PII - National Insurance Numbers detected,Macie detected NI numbers in 14 objects in tilington-temp-uploads-prod. Bucket is publicly accessible (SF-002).,N/A,N/A,ACTIVE,IMMEDIATE: Restrict public access (SF-002). Notify DPO. Assess ICO notification requirement.,Emma Clarke,8,YES,Potential UK GDPR breach. ICO notification may be required within 72 hours.
SF-019,2026-01-08,Security Hub - FSBP,123456789012,Production,eu-west-2,AWS::ECR::Repository,arn:aws:ecr:eu-west-2:123456789012:repository/tilington/customer-service,tilington/customer-service,MEDIUM,ECR repository image scan on push not enabled,Container images not automatically scanned for CVEs on push to ECR.,AWS Foundational Security Best Practices,ECR.1,ACTIVE,Enable scan on push for all ECR repositories.,James Patel,1,NO,Pre-requisite for DevSecOps pipeline (Phase 6)
SF-020,2026-01-08,Security Hub - FSBP,123456789012,Production,eu-west-2,AWS::DynamoDB::Table,arn:aws:dynamodb:eu-west-2:123456789012:table/AuditTrail,AuditTrail,MEDIUM,DynamoDB table does not have point-in-time recovery enabled,AuditTrail DynamoDB table has PITR disabled. FCA audit data at risk from accidental deletion.,AWS Foundational Security Best Practices,DynamoDB.2,ACTIVE,Enable PITR on AuditTrail table. Consider also enabling DynamoDB Streams for replication.,Emma Clarke,1,YES,FCA SYSC 9 - audit trail must be recoverable
