server_id,hostname,dc_location,rack,os,os_version,os_eosl,virtualisation,vcpus,ram_gb,disk_gb,role,applications,primary_database,network_zone,ip_address,patch_status,last_patched,monitoring,backup_policy,owner,notes
SRV-051,til-dns-02,DC1-London,R16,Windows Server,2019,,VMware vSphere 6.7,2,8,100,DNS,Infrastructure,None,Infra,10.10.4.53,OK,2025-12-01,SCOM,Daily,Priya Sharma,Internal DNS secondary
SRV-052,til-vcenter-01,DC1-London,R17,Windows Server,2019,,Physical (bare metal),8,32,500,VMware vCenter,vSphere infrastructure,None,Infra,10.10.4.60,WARNING - 5 patches pending,2025-10-15,SCOM,Daily,Michael Evans,vCenter Server - manages all DC1 VMware hosts. EOL hypervisor managed here.
SRV-053,til-esx-01,DC1-London,R17,VMware ESXi,6.7,EOL,,Physical (bare metal),48,512,N/A,Hypervisor,Multiple VMs,None,Infra,10.10.5.1,CRITICAL - EOL hypervisor,2024-01-15,vCenter,N/A,Michael Evans,ESXi host 1 of 6. EOL.
SRV-054,til-esx-02,DC1-London,R17,VMware ESXi,6.7,EOL,,Physical (bare metal),48,512,N/A,Hypervisor,Multiple VMs,None,Infra,10.10.5.2,CRITICAL - EOL hypervisor,2024-01-15,vCenter,N/A,Michael Evans,ESXi host 2 of 6. EOL.
SRV-055,til-esx-03,DC1-London,R18,VMware ESXi,6.7,EOL,,Physical (bare metal),48,512,N/A,Hypervisor,Multiple VMs,None,Infra,10.10.5.3,CRITICAL - EOL hypervisor,2024-01-15,vCenter,N/A,Michael Evans,ESXi host 3 of 6. EOL.
SRV-056,til-esx-04,DC1-London,R18,VMware ESXi,6.7,EOL,,Physical (bare metal),48,512,N/A,Hypervisor,Multiple VMs,None,Infra,10.10.5.4,CRITICAL - EOL hypervisor,2024-01-15,vCenter,N/A,Michael Evans,ESXi host 4 of 6. EOL.
SRV-057,til-esx-05,DC1-London,R18,VMware ESXi,6.7,EOL,,Physical (bare metal),48,512,N/A,Hypervisor,Multiple VMs,None,Infra,10.10.5.5,CRITICAL - EOL hypervisor,2024-01-15,vCenter,N/A,Michael Evans,ESXi host 5 of 6. EOL.
SRV-058,til-esx-06,DC1-London,R19,VMware ESXi,6.7,EOL,,Physical (bare metal),48,512,N/A,Hypervisor,Multiple VMs,None,Infra,10.10.5.6,CRITICAL - EOL hypervisor,2024-01-15,vCenter,N/A,Michael Evans,ESXi host 6 of 6. EOL.
SRV-059,til-dr-web-01,DC2-Manchester,R01,RHEL,7.9,EOL-Jun-2024,VMware vSphere 6.7,4,8,200,Web Server (DR),APP-001,None,DMZ,10.20.1.10,CRITICAL - 52 patches pending,2024-07-20,Nagios,Daily,Michael Evans,DR web server. EOL OS. Rarely patched.
SRV-060,til-dr-app-01,DC2-Manchester,R01,RHEL,8.6,,VMware vSphere 6.7,8,32,500,App Server (DR),APP-001 APP-017,Oracle 19c,App,10.20.2.10,OK,2025-11-01,Nagios,Daily,Michael Evans,DR app server
SRV-061,til-dr-db-01,DC2-Manchester,R02,RHEL,8.6,,Physical (bare metal),32,256,20000,Database Server (DR),ORCL-01,Oracle 19c,Data,10.20.3.10,OK,2025-12-01,OEM,Continuous,Michael Evans,Oracle DR standby - customer data. Sync from DC1 via Data Guard.
SRV-062,til-dr-db-02,DC2-Manchester,R02,RHEL,8.6,,Physical (bare metal),32,256,16000,Database Server (DR),ORCL-02,Oracle 19c,Data,10.20.3.11,OK,2025-12-01,OEM,Continuous,Michael Evans,Oracle DR standby - trade processing.
SRV-063,til-dr-batch-01,DC2-Manchester,R03,Windows Server,2012 R2,EOL-Oct-2023,VMware vSphere 6.7,8,32,500,Batch Server (DR),APP-008,Oracle 19c,App,10.20.2.20,CRITICAL - EOL OS,2023-10-10,SCOM,Daily,Michael Evans,DR batch server. EOL OS.
SRV-064,til-dr-auth-01,DC2-Manchester,R03,Windows Server,2019,,VMware vSphere 6.7,4,16,200,Auth Server (DR),APP-012,Active Directory,Infra,10.20.4.10,OK,2025-12-01,SCOM,Daily,Priya Sharma,DR auth proxy
SRV-065,til-dr-trade-01,DC2-Manchester,R04,Windows Server,2012 R2,EOL-Oct-2023,VMware vSphere 6.7,8,32,500,App Server (DR),APP-002,Oracle 19c,App,10.20.2.21,CRITICAL - EOL OS,2023-10-10,SCOM,Daily,Michael Evans,DR trade processing. EOL OS.
SRV-066,til-dr-ad-01,DC2-Manchester,R04,Windows Server,2019,,VMware vSphere 6.7,4,16,200,Domain Controller (DR),Infrastructure,Active Directory,Infra,10.20.4.11,OK,2025-12-01,SCOM,Daily,Priya Sharma,DC2 AD controller
SRV-067,til-dr-mon-01,DC2-Manchester,R05,RHEL,7.9,EOL-Jun-2024,VMware vSphere 6.7,4,16,200,Monitoring (DR),APP-011,None,Infra,10.20.4.12,WARNING - 19 patches pending,2025-08-01,Self,Daily,Michael Evans,DR Nagios. EOL OS.
SRV-068,til-dr-fw-01,DC2-Manchester,R05,N/A,N/A,,Physical (appliance),N/A,N/A,N/A,Firewall (DR),All DC2 traffic,None,Infra,10.20.0.1,OK,2025-12-01,N/A,N/A,Priya Sharma,Palo Alto PA-3220 (DC2 - smaller than DC1)
SRV-069,til-dr-lb-01,DC2-Manchester,R06,N/A,N/A,,Physical (appliance),N/A,N/A,N/A,Load Balancer (DR),DR DMZ apps,None,DMZ,10.20.0.10,OK,2025-12-01,N/A,N/A,Michael Evans,F5 BIG-IP LTM (DC2)
SRV-070,til-dr-esx-01,DC2-Manchester,R06,VMware ESXi,6.7,EOL,,Physical (bare metal),48,256,N/A,Hypervisor (DR),Multiple VMs,None,Infra,10.20.5.1,CRITICAL - EOL hypervisor,2024-01-15,vCenter,N/A,Michael Evans,ESXi host 1 of 3 at DC2. EOL.
SRV-071,til-dr-esx-02,DC2-Manchester,R07,VMware ESXi,6.7,EOL,,Physical (bare metal),48,256,N/A,Hypervisor (DR),Multiple VMs,None,Infra,10.20.5.2,CRITICAL - EOL hypervisor,2024-01-15,vCenter,N/A,Michael Evans,ESXi host 2 of 3 at DC2.
SRV-072,til-dr-esx-03,DC2-Manchester,R07,VMware ESXi,6.7,EOL,,Physical (bare metal),48,256,N/A,Hypervisor (DR),Multiple VMs,None,Infra,10.20.5.3,CRITICAL - EOL hypervisor,2024-01-15,vCenter,N/A,Michael Evans,ESXi host 3 of 3 at DC2.
SRV-073,til-dr-backup-01,DC2-Manchester,R08,RHEL,8.6,,Physical (bare metal),4,32,20000,Backup (DR),All DC2,None,Infra,10.20.4.20,OK,2025-12-01,Nagios,N/A,Michael Evans,Veeam backup for DC2.
SRV-074,til-dr-int-01,DC2-Manchester,R08,RHEL,7.9,EOL-Jun-2024,VMware vSphere 6.7,4,16,200,Integration (DR),APP-016,Oracle 19c,DMZ,10.20.1.11,CRITICAL - 41 patches pending,2024-09-01,Nagios,Daily,James Patel,DR payments gateway. EOL OS.
SRV-075,til-dr-db-03,DC2-Manchester,R09,RHEL,8.6,,Physical (bare metal),16,128,8000,Database Server (DR),ORCL-03,Oracle 19c,Data,10.20.3.12,OK,2025-12-01,OEM,Continuous,Michael Evans,Oracle DR standby - reference data.
SRV-076,til-dr-db-04,DC2-Manchester,R09,RHEL,8.6,,Physical (bare metal),32,128,12000,Database Server (DR),ORCL-04 ORCL-05,Oracle 19c,Data,10.20.3.13,WARNING - 10 patches pending,2025-09-15,OEM,Daily,Michael Evans,Oracle DR - reporting/risk. NOTE: ORCL-04 and ORCL-05 share this server. Undocumented.
SRV-077,til-dr-smtp-01,DC2-Manchester,R10,RHEL,7.9,EOL-Jun-2024,VMware vSphere 6.7,2,8,100,SMTP,APP-005,None,App,10.20.2.30,CRITICAL - 48 patches pending,2024-07-01,Nagios,Daily,James Patel,SMTP relay for email notifications. EOL OS. No failover from DC1.
SRV-078,til-dr-dns-01,DC2-Manchester,R10,Windows Server,2019,,VMware vSphere 6.7,2,8,100,DNS (DR),Infrastructure,None,Infra,10.20.4.21,OK,2025-12-01,SCOM,Daily,Priya Sharma,DR DNS server
SRV-079,til-dr-vcenter-01,DC2-Manchester,R10,Windows Server,2019,,Physical (bare metal),4,16,200,VMware vCenter (DR),vSphere DC2,None,Infra,10.20.4.22,OK,2025-11-15,SCOM,Daily,Michael Evans,vCenter for DC2. Separate from DC1 vCenter.
SRV-080,til-dr-ntp-01,DC2-Manchester,R11,RHEL,8.6,,VMware vSphere 6.7,2,8,50,NTP,Infrastructure,None,Infra,10.20.4.23,OK,2025-12-01,Nagios,Daily,Michael Evans,NTP server. Both DCs sync here.
SRV-081,til-compliance-02,DC1-London,R19,RHEL,8.6,,VMware vSphere 6.7,4,16,200,App Server,APP-015,Oracle 19c,App,10.10.2.80,OK,2025-11-15,Nagios,Daily,Emma Clarke,Compliance screening secondary node
SRV-082,til-riskdb-01,DC1-London,R19,RHEL,8.6,,Physical (bare metal),16,128,8000,Database Server,ORCL-05,Oracle 19c,Data,10.10.3.60,OK,2025-12-01,OEM,Continuous,Michael Evans,Oracle risk DB primary. Note: shared instance also runs ORCL-04. See SRV-076 note.
SRV-083,til-riskdb-02,DC1-London,R20,RHEL,8.6,,Physical (bare metal),16,128,8000,Database Server,ORCL-05,Oracle 19c,Data,10.10.3.61,OK,2025-12-01,OEM,Continuous,Michael Evans,Oracle risk DB standby.
SRV-084,til-reportdb-01,DC1-London,R20,RHEL,8.6,,Physical (bare metal),16,64,12000,Database Server,ORCL-04,Oracle 19c,Data,10.10.3.62,WARNING - 8 patches pending,2025-10-05,OEM,Daily,Michael Evans,Oracle reporting DB primary. 3am batch window.
SRV-085,til-reportdb-02,DC1-London,R20,RHEL,8.6,,Physical (bare metal),16,64,12000,Database Server,ORCL-04,Oracle 19c,Data,10.10.3.63,WARNING - 8 patches pending,2025-10-05,OEM,Daily,Michael Evans,Oracle reporting DB standby.
SRV-086,til-unknown-01,DC1-London,R21,RHEL,7.9,EOL-Jun-2024,VMware vSphere 6.7,4,16,200,Unknown,Unknown,Unknown,Unknown,10.10.6.10,CRITICAL - unknown,Unknown,Unknown,Unknown,Michael Evans,DISCOVERED during audit. No entry in CMDB. Unknown purpose. RISK.
SRV-087,til-unknown-02,DC1-London,R21,Windows Server,2012 R2,EOL-Oct-2023,VMware vSphere 6.7,4,16,200,Unknown,Unknown,Unknown,Unknown,10.10.6.11,CRITICAL - EOL OS unknown,Unknown,Unknown,Unknown,Unknown,DISCOVERED during audit. Not in CMDB. Owner unknown. RISK.
SRV-088,til-dr-itsm-01,DC2-Manchester,R11,Windows Server,2019,,VMware vSphere 6.7,4,16,200,App (DR),APP-009,MySQL 5.7,App,10.20.2.31,OK,2025-11-01,SCOM,Daily,Michael Evans,ITSM portal DR instance
SRV-089,til-sftp-01,DC1-London,R21,RHEL,8.6,,VMware vSphere 6.7,4,16,500,SFTP,APP-013,None,DMZ,10.10.1.40,WARNING - 14 patches pending,2025-09-20,Nagios,Daily,Michael Evans,SFTP gateway for counterparty file exchange
SRV-090,til-cap-01,DC1-London,R22,Windows Server,2019,,VMware vSphere 6.7,2,8,100,Management,APP-020 (Excel),None,Infra,10.10.4.70,OK,2025-11-01,SCOM,Daily,Michael Evans,Capacity planning workstation. Excel-based tool. Candidate for retirement.
